date,day,pages_built,comparisons,indexed,impressions,clicks,ctr,avg_position,pages_with_impressions,affiliate_clicks,leads,revenue_usd,notes
2026-09-14,0,293,24,0,,,,,,0,0,0.0,launch baseline
2026-09-21,7,1436,65,7,42,,,,,,,,"GSC Indexing export to 2026-09-18: 7 indexed, 0 reported not-indexed; impressions summed from chart; clicks not in this export"
